gene,avg_methylation
BCAT1,0.5548880126852879
BCAT2,0.3487686695460701
BCCIP,0.2530946685087766
BCHE,0.5357858175248421
BCKDHA,0.18641933011517642
BCKDHB,0.11707099303135877
BCKDK,0.3491083998136854
BCL11A,0.4375847295042397
BCL11B,0.470657518836878
BCL2,0.2384072694095351
BCL2A1,0.762713834688346
BCL2L1,0.15132960526315772
BCL2L10,0.5454693366592761
BCL2L11,0.3519335492292494
BCL2L13,0.2796272823509484
BCL2L14,0.5748816395663955
BCL3,0.37590366982836493
BCL6,0.19547958788581088
BCL9,0.3725877589043746
BCL9L,0.4396567358031536
BCLAF1,0.16471109741152554
BCO1,0.41382467576461496
BCOR,0.4260953709796669
BCORL1,0.4038843952020975
BCR,0.37817870964674555
BCS1L,0.287013862086423
BDH1,0.4830367875467293
BDH2,0.44947936991869913
BDKRB1,0.7218648185787416
BDKRB2,0.3562749159758754
BDNF,0.28146118312688595
BDP1,0.14334718834688362
BECN1,0.1913573503542054
BEST2,0.3999954658372345
BET1,0.223128093117328
BET1L,0.1786484577042197
BEX1,0.5011534709390654
BEX2,0.3999657548554653
BEX3,0.5
BFSP1,0.2559716620283509
BFSP2,0.6844719629264309
BGLAP,0.6390290473330869
BGN,0.5620083095597092
BHLHE40,0.20682864313870422
BHLHE41,0.1611535651303204
BHMT,0.560318233965673
BHMT2,0.5029705768486251
BICD2,0.6378770171224438
BID,0.4383996379573168
BIK,0.2517680199727904
BIN1,0.5670224752286587
BIN3,0.4480600627585221
BIRC2,0.2526093216206785
BIRC3,0.24734137630661993
BIRC5,0.6027246654810295
BIRC7,0.6470255016155928
BLK,0.5336734533488194
BLM,0.25063382452574545
BLMH,0.1916795096544713
BLNK,0.5135782825203258
BLOC1S1,0.38367803268970196
BLOC1S2,0.12233148761130479
BLOC1S3,0.10439410450244824
BLOC1S4,0.04680793360433614
BLOC1S5,0.21943883037694015
BLOC1S6,0.15936500322622282
BLVRA,0.23228026387892547
BLVRB,0.1519944789107404
BLZF1,0.23079260388437214
BMF,0.27035129717107426
BMI1,0.33217207346530003
BMP1,0.5853167479231982
BMP10,0.740622093495935
BMP15,0.7124336269196023
BMP2,0.34142943131775066
BMP4,0.2945039158588701
